Name,Speichervolumen Pufferspeicher [l],Speichervolumen Trinkwasser [l],Nennleistung WÃ¤rmepumpe [kW],Soll-Raumtemperatur [Â°C],Photovoltaik Anzahl Module [-],,SJAZ [-],Energiebedarf gedeckt,Netto Stromkosten [CHF],Investitionskosten [CHF],Autarkiegrad [%]
0,500,400,12,19,30,0,3.18,0,3034.46,50301.62,14.9
1,500,400,12,20,30,1,3.18,0,3034.46,50301.62,14.9
2,500,400,12,21,30,2,3.18,0,3034.46,50301.62,14.9
3,500,400,12,22,30,3,3.18,0,3034.46,50301.62,14.9
4,500,400,12,23,30,4,3.18,0,3034.46,50301.62,14.9
5,500,400,12,19,60,5,3.18,0,2072.32,58941.67,21.59
6,500,400,12,20,60,6,3.18,0,2072.32,58941.67,21.59
7,500,400,12,21,60,7,3.18,0,2072.32,58941.67,21.59
8,500,400,12,22,60,8,3.18,0,2072.32,58941.67,21.59
9,500,400,12,23,60,9,3.18,0,2072.32,58941.67,21.59
10,500,400,12,19,90,10,3.18,0,1183.49,66330.31,24.93
11,500,400,12,20,90,11,3.18,0,1183.49,66330.31,24.93
12,500,400,12,21,90,12,3.18,0,1183.49,66330.31,24.93
13,500,400,12,22,90,13,3.18,0,1183.49,66330.31,24.93
14,500,400,12,23,90,14,3.18,0,1183.49,66330.31,24.93
45,1000,400,12,19,30,45,3.17,1,3040.8,51301.62,15.17
46,1000,400,12,20,30,46,3.17,1,3040.8,51301.62,15.17
47,1000,400,12,21,30,47,3.17,1,3040.8,51301.62,15.17
48,1000,400,12,22,30,48,3.17,1,3040.8,51301.62,15.17
49,1000,400,12,23,30,49,3.17,1,3040.8,51301.62,15.17
50,1000,400,12,19,60,50,3.17,1,2073.99,59941.67,22.06
51,1000,400,12,20,60,51,3.17,1,2073.99,59941.67,22.06
52,1000,400,12,21,60,52,3.17,1,2073.99,59941.67,22.06
53,1000,400,12,22,60,53,3.17,1,2073.99,59941.67,22.06
54,1000,400,12,23,60,54,3.17,1,2073.99,59941.67,22.06
55,1000,400,12,19,90,55,3.17,1,1183.72,67330.31,25.46
56,1000,400,12,20,90,56,3.17,1,1183.72,67330.31,25.46
57,1000,400,12,21,90,57,3.17,1,1183.72,67330.31,25.46
58,1000,400,12,22,90,58,3.17,1,1183.72,67330.31,25.46
